asset_id,asset_type,criticality,operational_status
ENG-050,Turbofan Engine,CRITICAL,ACTIVE
ENG-051,Turbofan Engine,LOW,ACTIVE
ENG-052,Turbofan Engine,HIGH,ACTIVE
ENG-053,Turbofan Engine,MEDIUM,ACTIVE
ENG-054,Turbofan Engine,LOW,MAINTENANCE
ENG-055,Turbofan Engine,HIGH,ACTIVE
ENG-056,Turbofan Engine,MEDIUM,ACTIVE
ENG-057,Turbofan Engine,CRITICAL,ACTIVE
ENG-058,Turbofan Engine,LOW,ACTIVE
ENG-059,Turbofan Engine,HIGH,ACTIVE
ENG-060,Turbofan Engine,MEDIUM,ACTIVE
ENG-061,Turbofan Engine,LOW,ACTIVE
ENG-062,Turbofan Engine,HIGH,ACTIVE
ENG-063,Turbofan Engine,MEDIUM,ACTIVE
ENG-064,Turbofan Engine,CRITICAL,MAINTENANCE
ENG-065,Turbofan Engine,LOW,ACTIVE
ENG-066,Turbofan Engine,HIGH,ACTIVE
ENG-067,Turbofan Engine,MEDIUM,ACTIVE
ENG-068,Turbofan Engine,LOW,ACTIVE
ENG-069,Turbofan Engine,HIGH,INACTIVE
ENG-070,Turbofan Engine,MEDIUM,ACTIVE
ENG-071,Turbofan Engine,CRITICAL,ACTIVE
ENG-072,Turbofan Engine,MEDIUM,ACTIVE
ENG-073,Turbofan Engine,HIGH,ACTIVE
ENG-074,Turbofan Engine,MEDIUM,MAINTENANCE
ENG-075,Turbofan Engine,MEDIUM,ACTIVE
ENG-076,Turbofan Engine,HIGH,ACTIVE
ENG-077,Turbofan Engine,MEDIUM,ACTIVE
ENG-078,Turbofan Engine,CRITICAL,ACTIVE
ENG-079,Turbofan Engine,MEDIUM,ACTIVE
ENG-080,Turbofan Engine,HIGH,ACTIVE
ENG-081,Turbofan Engine,MEDIUM,ACTIVE
ENG-082,Turbofan Engine,MEDIUM,ACTIVE
ENG-083,Turbofan Engine,HIGH,ACTIVE
ENG-084,Turbofan Engine,MEDIUM,MAINTENANCE
ENG-085,Turbofan Engine,CRITICAL,ACTIVE
ENG-086,Turbofan Engine,MEDIUM,ACTIVE
ENG-087,Turbofan Engine,HIGH,ACTIVE
ENG-088,Turbofan Engine,MEDIUM,ACTIVE
ENG-089,Turbofan Engine,MEDIUM,INACTIVE
ENG-090,Turbofan Engine,HIGH,ACTIVE
ENG-091,Turbofan Engine,MEDIUM,ACTIVE
ENG-092,Turbofan Engine,CRITICAL,ACTIVE
ENG-093,Turbofan Engine,MEDIUM,ACTIVE
ENG-094,Turbofan Engine,HIGH,MAINTENANCE
ENG-095,Turbofan Engine,MEDIUM,ACTIVE
ENG-096,Turbofan Engine,HIGH,ACTIVE
ENG-097,Turbofan Engine,MEDIUM,ACTIVE
ENG-098,Turbofan Engine,HIGH,ACTIVE
ENG-099,Turbofan Engine,CRITICAL,ACTIVE
ENG-100,Turbofan Engine,HIGH,ACTIVE
